Artery_Area,Artery_Tortuosity_Index,Artery_Median_Tortuosity,Artery_Overall_Length,Artery_Median_Branching_Angles,Artery_N_Start_Points,Artery_N_End_Points,Artery_N_Intersection_Points,Vein_Area,Vein_Tortuosity_Index,Vein_Median_Tortuosity,Vein_Overall_Length,Vein_Median_Branching_Angles,Vein_N_Start_Points,Vein_N_End_Points,Vein_N_Intersection_Points,Index
20578.0,1.101783294664782,1.0756367889618739,1555.8935777509541,70.5757404411149,4,5.0,1.0,49007.0,1.0925873999828244,1.0842219622860678,4196.864499436932,77.27564431457763,4,13.0,12.0,47.4
49634.0,1.1037717365489474,1.0874512244608683,5520.8392462675165,91.70262119744866,9,17.0,9.0,57754.0,1.0930530258740985,1.0818334445069104,6274.276979895755,68.81300079233631,11,25.0,14.0,378.3
39278.0,1.0778952204439918,1.0743796278960795,5061.986432525135,69.1672448331197,9,14.0,5.0,47080.0,1.0938323861755352,1.0791560082776581,5861.105407020499,66.55186545479953,8,19.0,13.0,207.1
34729.0,1.0914772012416543,1.0840323544051138,5386.77027049671,92.36403577249139,7,13.0,5.0,38741.0,1.0995599223332075,1.081480672094382,5342.461612631604,79.77783136636388,8,16.0,11.0,1075.2
25567.0,1.0640098519689032,1.06927540317987,2744.438959117516,62.31164610884658,6,9.0,4.0,23127.0,1.07907272995816,1.0810012426255984,2076.973880278811,74.00902792044084,4,5.0,1.0,1023.3
39673.0,1.1480201488494586,1.10139439819121,4342.089896181349,75.31678024760397,9,16.0,9.0,50289.0,1.0925345511348143,1.0846077188693113,5804.600789662503,77.16439051359856,10,25.0,15.0,681.3
37791.0,1.1226034907118623,1.0989503225728776,4686.064643011935,84.56021228212653,7,18.0,10.0,42376.0,1.1079804068882406,1.0819773488311226,4783.6992026848375,95.50102046851732,9,18.0,9.0,928.3
29915.0,1.1374562650104416,1.0898067478648121,3556.786288950131,73.04182015224454,6,11.0,7.0,43577.0,1.088548618934439,1.0795190490163864,4624.844296901401,77.65847522262086,8,15.0,7.0,87.2
33536.0,1.1448951504696814,1.137942956052469,2880.875467256475,73.84266013541206,5,8.0,3.0,49555.0,1.0763592215859512,1.0802769368354488,4556.58946290546,90.92496410825716,6,15.0,9.0,983.1
22026.0,1.0873333885289522,1.0796813124772648,3044.74047430768,97.18508142037102,4,10.0,6.0,21408.0,1.0736769624029732,1.0694117412498867,2566.5983386839503,83.11507167945632,4,8.0,4.0,690.4
40877.0,1.0903457067150848,1.0759852569768489,4865.839246267522,73.09330607914688,9,15.0,6.0,53283.0,1.090757887740289,1.083118095107234,5730.900212811615,73.21842441719926,7,19.0,12.0,1175.4
39844.0,1.0798855527189832,1.0742408008537152,4719.089029629579,70.77650834629074,11,13.0,2.0,40423.0,1.0673522788114729,1.069406597821844,4074.3253941935336,64.43882193672043,6,12.0,5.0,761.2
0.0,,,0.0,,0,0.0,0.0,6738.0,1.0861396082561028,1.0847741058874978,552.4873734152923,,3,3.0,0.0,968.1
0.0,,,0.0,,0,0.0,0.0,0.0,,,0.0,,0,0.0,0.0,970.3
